Name,Quantity,Component
"Digit1",1,"Cathode 7 Segment Display"
"U1",1," Arduino Uno R3"
"R1, R2, R3, R4, R5, R6, R7, R8",8,"220 Ω Resistor"
"S1",1," Pushbutton"
"R9",1,"1 kΩ Resistor"
